MPN,Société,Article,Marque,Prix (HTVA),Prix (TVA),Ancien Prix (HTVA),Evolution du prix,Offres,Stock,Checked on
REF-0601390909,CIPAC,"=HYPERLINK(""https://www.cipac.be/bosch-perceuse-angulaire-sans-fil-gwb-12v-10-c-g-chargeur-et-batterie-li-ion-non-livree-0601390909-0601390909""; ""BOSCH - PERCEUSE ANGULAIRE SANS FIL GWB 12V 10 C&G CHARGEUR ET BATTERIE LI ION NON LIVRÉE 0601390909DÉSTOCKAGE"")",BOSCH,"150,10","181,62",TODO,TODO,-,True,2025-08-07 21:38:09
REF-0601390909,CLABOTS,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:39:45
REF-0601390909,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:43:00
REF-0601390909,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/bosch-gwb-12-v-10-perceuse-d-angle-en-l-boxx-102-sans-batterie-ni-chargeur-0601390909-121142""; ""BOSCH - GWB 12 V 10 PERCEUSE D'ANGLE EN L BOXX 102 0601390909"")",BOSCH,"113,25","137,03",TODO,TODO,-,False,2025-08-07 21:45:07
REF-102392,CIPAC,"=HYPERLINK(""https://www.cipac.be/soudal-silirub-2-blanc-cartouche-310-ml-102392-102392""; ""SOUDAL - SILIRUB 2 BLANC CARTOUCHE 102392DÉSTOCKAGE"")",SOUDAL,"4,99","6,03",TODO,TODO,-,True,2025-08-07 21:37:07
REF-102392,CLABOTS,"=HYPERLINK(""https://www.clabots.be/fr/silirub-a2-neutre-310-ml""; ""SILIRUB A2 NEUTRE"")",,"5,98","7,23",TODO,TODO,-,False,2025-08-07 21:39:11
REF-102392,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:41:19
REF-102392,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/soudal-silirub-2-silicone-neutre-blanc-310-ml-102392-107168""; ""SOUDAL - SILIRUB 2 SILICONE NEUTRE BLANC 102392"")",SOUDAL,"4,97","6,01",TODO,TODO,"À partir de 1 pièce: 6.01€
À partir de 15 pièces: 5.71€ (- 4,51 €)
À partir de 30 pièces: 5.56€ (- 13,53 €)
À partir de 45 pièces: 5.41€ (- 27,06 €)",True,2025-08-07 21:44:01
REF-105829,CIPAC,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:36:38
REF-105829,CLABOTS,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:38:38
REF-105829,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:40:28
REF-105829,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/soudal-silirub-color-silicone-neutre-ral-5011-bleu-acier-310-ml-105829-124946""; ""SOUDAL - SILIRUB COLOR SILICONE NEUTRE BLEU ACIER 105829"")",SOUDAL,"6,86","8,30",TODO,TODO,"À partir de 15 pièce: 8.30€
À partir de 30 pièces: 7.47€ (- 24,89 €)
À partir de 45 pièces: 7.05€ (- 56,00 €)",False,2025-08-07 21:43:31
REF-DCB1104P3-QW,CIPAC,"=HYPERLINK(""https://www.cipac.be/dewalt-set-de-3x-18v-xr-li-ion-5-0ah-accu-chargeur-xr-multivoltage-dcb1104p3-qw-dcb1104p3-qw?""; ""DEWALT - SET DE 18V XR LI ION 5,0AH ACCU + CHARGEUR XR MULTIVOLTAGE DCB1104P3 QWDÉSTOCKAGE"")",DEWALT,"249,00","301,29",TODO,TODO,-,False,2025-08-07 21:37:42
REF-DCB1104P3-QW,CLABOTS,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:39:29
REF-DCB1104P3-QW,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/dewalt-dcb1104p3-kit-de-demarrage-batterie-li-ion-18v-3x-5.0ah-chargeur.html""; ""DEWALT - DCB1104P3 KIT DE DÉMARRAGE BATTERIE LI ION 18V + CHARGEUR"")",DEWALT,"189,05","228,75",TODO,TODO,-,True,2025-08-07 21:42:09
REF-DCB1104P3-QW,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/dewalt-dcb1104p3-qw-kit-de-chargement-de-la-batterie-18v-xr-3x-50ah-batterie-multi-chargeur-122568""; ""DEWALT - DCB1104P3 QW KIT DE CHARGEMENT DE LA BATTERIE 18V XR"")",DEWALT,"267,88","324,13",TODO,TODO,-,False,2025-08-07 21:44:40
REF-DGA506Z,CIPAC,"=HYPERLINK(""https://www.cipac.be/makita-meuleuse-125mm-sur-accu-lxt-18v-sans-accus-ni-chargeur-dans-une-boite-en-carton-dga506z-dga506z?""; ""MAKITA - MEULEUSE SUR ACCU LXT 18V DGA506ZDÉSTOCKAGE"")",MAKITA,"163,93","198,36",TODO,TODO,-,True,2025-08-07 21:36:56
REF-DGA506Z,CLABOTS,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:38:53
REF-DGA506Z,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/makita-dga506z-meuleuse-d-angle-sans-fil-18v-li-ion-125-mm-softstart-brushless-machine-seule.html""; ""MAKITA - DGA506Z MEULEUSE D'ANGLE SANS FIL 18V LI ION SOFTSTART BRUSHLESS MACHINE SEULE"")",MAKITA,"121,48","146,99",TODO,TODO,"À partir de 1 pièce: 146.99€
À partir de 2 pièces: 144.05€ (2%)
À partir de 3 pièces: 142.58€ (3%)
À partir de 4 pièces: 141.11€ (4%)",True,2025-08-07 21:40:53
REF-DGA506Z,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/makita-dga506z-meuleuse-d-angle-sans-fil-18v-lxt-125mm-avec-interrupteur-a-glissiere-dans-une-boite-en-carton-sans-batterie-ni-107221""; ""MAKITA - DGA506Z MEULEUSE D'ANGLE SANS FIL 18V LXT AVEC INTERRUPTEUR À GLISSIÈRE DANS UNE BOÎTE EN CARTON (SANS BATTERIE NI"")",MAKITA,"122,87","148,68",TODO,TODO,-,True,2025-08-07 21:43:46
REF-FS4000JX2,CIPAC,"=HYPERLINK(""https://www.cipac.be/makita-visseuse-pour-plaques-de-platre-570w-avec-adaptateur-pour-vis-a-bande-fs4000jx2-fs4000jx2?""; ""MAKITA - VISSEUSE POUR PLAQUES DE PLÂTRE 570W AVEC ADAPTATEUR POUR VIS À BANDE FS4000JX2DÉSTOCKAGE"")",MAKITA,"193,03","233,57",TODO,TODO,-,True,2025-08-07 21:38:27
REF-FS4000JX2,CLABOTS,"=HYPERLINK(""https://www.clabots.be/fr/visseuse-pour-plaques-de-platre-makita-230v-fs4000jx2""; ""MAKITA - VISSEUSE POUR PLAQUES DE PLATRE  230V FS4000JX2"")",MAKITA,"100,00","121,00",TODO,TODO,-,False,2025-08-07 21:39:59
REF-FS4000JX2,FIXAMI,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:43:14
REF-FS4000JX2,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/makita-fs4000jx2-visseuse-pour-plaques-de-platre-570w-adaptateur-tournevis-en-mallette-106851""; ""MAKITA - FS4000JX2 VISSEUSE POUR PLAQUES DE PLÂTRE 570W + ADAPTATEUR TOURNEVIS EN MALLETTE"")",MAKITA,"169,65","205,28",TODO,TODO,-,False,2025-08-07 21:45:21
REF-G23SW2W7Z,CIPAC,"=HYPERLINK(""https://www.cipac.be/hikoki-meuleuse-d-angle-230v-2-200-w-230mm-interrupteur-homme-mort-avec-disque-diamante-en-boite-carton-g23sw2w7z-g23sw2w7z?""; ""HIKOKI - MEULEUSE D""""ANGLE 230V 2.200 W INTERRUPTEUR HOMME MORT AVEC DISQUE DIAMANTE EN BOÎTE CARTON G23SW2W7ZDÉSTOCKAGE"")",HIKOKI,"79,00","95,59",TODO,TODO,-,True,2025-08-07 21:37:58
REF-G23SW2W7Z,CLABOTS,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:39:37
REF-G23SW2W7Z,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/hikoki-g23sw2w7z-meuleuse-d-angle-230-mm-2.200-w.html""; ""HIKOKI - G23SW2W7Z MEULEUSE D'ANGLE 2.200 W"")",HIKOKI,"76,33","92,36",TODO,TODO,"À partir de 1 pièce: 92.36€
À partir de 2 pièces: 90.51€ (2%)
À partir de 3 pièces: 89.59€ (3%)
À partir de 4 pièces: 88.67€ (4%)",True,2025-08-07 21:42:34
REF-G23SW2W7Z,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/hikoki-g23sw2w7z-meuleuse-d-angle-230-mm-2200w-138898""; ""HIKOKI - G23SW2W7Z MEULEUSE D'ANGLE 2200W"")",HIKOKI,"88,82","107,48",TODO,TODO,-,True,2025-08-07 21:44:53
REF-HG5030K,CIPAC,"=HYPERLINK(""https://www.cipac.be/makita-hg5030k-pistolet-a-air-chaud-1600w-avec-des-acc-suppl-en-coffret-hg5030k-hg5030k?""; ""MAKITA - HG5030K PISTOLET À AIR CHAUD 1600W AVEC DES ACC SUPPL EN COFFRET HG5030KDÉSTOCKAGE"")",MAKITA,"82,45","99,76",TODO,TODO,-,True,2025-08-07 21:37:25
REF-HG5030K,CLABOTS,Produit indisponible,-,-,-,-,-,-,-,2025-08-07 21:39:20
REF-HG5030K,FIXAMI,"=HYPERLINK(""https://www.fixami.be/fr/decapeur-thermique-makita-hg5030k-dans-coffret-1600-w.html""; ""MAKITA - DÉCAPEUR THERMIQUE  HG5030K DANS COFFRET 1600 W"")",MAKITA,"57,28","69,31",TODO,TODO,-,True,2025-08-07 21:41:44
REF-HG5030K,KLIUM,"=HYPERLINK(""https://www.klium.be/fr/makita-hg5030k-pistolet-a-air-chaud-1600-w-en-mallette-106904""; ""MAKITA - HG5030K PISTOLET À AIR CHAUD 1600 W EN MALLETTE"")",MAKITA,"57,75","69,88",TODO,TODO,-,True,2025-08-07 21:44:14
